id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
56,UCSB,IZC,,PreservedSpecimen,af11fd3f-f188-4177-b291-96d42bd60222,UCSB-IZC00000121,,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Dilophus,3534,"Meigen, 1803",Dilophus,,,,,,,,,,,,,,,1983-05-30,1983,5,30,150,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Pino Alto, Figueroa Mountain",,0,,34.743317,-119.985143,WGS84,10182,,"James Nguyen",,GeoLocate,,,,,,,,,,,seltmann,"2019-01-31 11:53:44",,1,urn:uuid:af11fd3f-f188-4177-b291-96d42bd60222,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=56
57,UCSB,IZC,,PreservedSpecimen,fee7f237-089b-4861-87d2-c674ada4b83e,UCSB-IZC00000125,,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Dilophus,3534,"Meigen, 1803",Dilophus,,,,,,,,,,,,,,,1973-05-08,1973,5,8,128,,,"Hard to read locality, assumed to be refugio",,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Refugio Canyon",,0,,34.50136,-120.06626,,4277,,"rbehm (2017-10-23 22:47:58)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,seltmann,"2019-01-31 11:54:06",,1,urn:uuid:fee7f237-089b-4861-87d2-c674ada4b83e,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=57
58,UCSB,IZC,,PreservedSpecimen,c5123789-cd72-4ed2-b652-13c54c8be9e5,"UCSB-IZC 00000127",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Dilophus,3534,"Meigen, 1803",Dilophus,,,,,,,,,,,,,,,1975-05-00,1975,5,,,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"University of California, Santa Barbara",,0,,34.415262,-119.84777,WGS84,1291,,"Katja Seltmann",,GeoLocate,,,,,,,,,,,seltmann,"2017-07-20 12:59:59",,1,urn:uuid:c5123789-cd72-4ed2-b652-13c54c8be9e5,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=58
59,UCSB,IZC,,PreservedSpecimen,d6a3ae15-3cae-47b6-ab0a-3799647689fd,"UCSB-IZC 00000131",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Dilophus,3534,"Meigen, 1803",Dilophus,,,,,,,,,,,,,,,1983-05-12,1983,5,12,132,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Figueroa Mountain",,0,,34.743317,-119.985143,,1807,,"rbehm (2017-10-23 22:46:34)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,seltmann,"2017-10-23 22:46:34",,1,urn:uuid:d6a3ae15-3cae-47b6-ab0a-3799647689fd,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=59
60,UCSB,IZC,,PreservedSpecimen,cda1c1ea-fee2-489e-9d7b-71801d0422a6,"UCSB-IZC 00000070",,Animalia,Arthropoda,Insecta,Diptera,Mycetophilidae,Mycetophilidae,3538,,,,,,,,,,,,,"A.M. Wenner",,,,1959-07-24,1959,7,24,205,,,,,,,,,,,,,,,,,,,,,"United States",Michigan,Livingston,,"E.S. George Reserve",,0,,42.458463,-84.011529,,10726,,"rbehm (2017-10-07 20:18:49)",,"georef batch tool 2017-10-07; GeoLocate","reviewed - high confidence",,,,,,,,,,seltmann,"2017-10-07 20:18:49",,1,urn:uuid:cda1c1ea-fee2-489e-9d7b-71801d0422a6,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=60
61,UCSB,IZC,,PreservedSpecimen,70135c55-99f9-4448-9e98-4166e9c978bb,"UCSB-IZC 00000180",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibionidae,3533,,,,,,,,,,,,,,,,,1975-05-00,1975,5,,,,1975-5,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"University of California, Santa Barbara",,0,,34.41512,-119.852834,WGS84,1453,,,,GeoLocate,,,,,,,,,,,,"2018-04-17 13:23:27",,1,urn:uuid:70135c55-99f9-4448-9e98-4166e9c978bb,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=61
62,UCSB,IZC,,PreservedSpecimen,0d1a7786-101e-45be-99c4-ec0720697fbf,"UCSB-IZC 00000179",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibionidae,3533,,,,,,,,,,,,,,,,,1973-05-08,1973,5,8,128,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Refugio Canyon",,0,,34.50136,-120.06626,,4277,,"rbehm (2017-10-23 22:47:58)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,,"2017-10-23 22:47:58",,1,urn:uuid:0d1a7786-101e-45be-99c4-ec0720697fbf,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=62
63,UCSB,IZC,,PreservedSpecimen,9277e0b9-f118-4133-8f79-52d548444827,"UCSB-IZC 00000177",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibionidae,3533,,,,,,,,,,,,,"R.C. Priestaf",,,,1975-02-24,1975,2,24,55,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,Goleta,,0,,34.443192,-119.813219,,9230,,"rbehm (2017-10-07 19:44:35)",,"georef batch tool 2017-10-07; GeoLocate","reviewed - high confidence",,,,,,,,,,seltmann,"2017-10-07 19:44:35",,1,urn:uuid:9277e0b9-f118-4133-8f79-52d548444827,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=63
64,UCSB,IZC,,PreservedSpecimen,a91dbcaf-053e-419d-b800-29cbf3167f49,"UCSB-IZC 00000176",,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Bibionidae,3533,,,,,,,,,,,,,"Paul K. Seaton",,,,1966-04-00,1966,4,,,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"University of California Santa Barbara",,0,,34.412713,-119.848843,,1009,,"seltmann (2017-04-18 16:49:23)",,"georef batch tool 2017-04-18; GeoLocate","reviewed - high confidence",,,,,,,,,,,"2017-07-20 12:59:59",,1,urn:uuid:a91dbcaf-053e-419d-b800-29cbf3167f49,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=64
65,UCSB,IZC,,PreservedSpecimen,c8a6bfe8-3f12-40bb-afbd-8968747c7162,"UCSB-IZC 00000175",,Animalia,Arthropoda,Insecta,Diptera,Mycetophilidae,Mycetophilidae,3538,,,,,,,,,,,,,"Paul K. Seaton",,,,1966-03-00,1966,3,,,,,,,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Oso Campground",,0,,34.631684,-119.863098,,70777,,"rbehm (2017-10-23 23:18:11)",,"georef batch tool 2017-10-23","reviewed - high confidence",,,,,,,,,,seltmann,"2017-10-23 23:18:11",,1,urn:uuid:c8a6bfe8-3f12-40bb-afbd-8968747c7162,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=65
