id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
105031,UCSB,IZC,,PreservedSpecimen,e4d1a57d-1aef-47cb-a3e2-e8bc40a05a6d,UCSB-IZC00000532,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,I. Naughton,2017,,,,,,,,,,,,,,,,May 197,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Cachuma Campground,,0,,34.583084,-119.958515,WGS84,9161,,,,GeoLocate,,Included all of Cachuma Lake Recreation Area,,,,,,,,,phorsley,2/21/2019 10:34,,1,urn:uuid:e4d1a57d-1aef-47cb-a3e2-e8bc40a05a6d,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=105031
105032,UCSB,IZC,,PreservedSpecimen,89936c4b-d4cd-4edc-839a-92288df476ee,UCSB-IZC00000760,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,I. Naughton,2017,,,,,,,,,,1975-05-00,1975,5,,,,,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Ynez River,,0,,34.657247,-120.310617,WGS84,1384,,,,GeoLocate,,Drew Polygon across entire River,,,,,,,,,phorsley,2/21/2019 11:23,,1,urn:uuid:89936c4b-d4cd-4edc-839a-92288df476ee,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=105032
105041,UCSB,IZC,,PreservedSpecimen,2e260cc0-3243-424f-af7f-0c55413295c5,UCSB-IZC00003905,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,I. Naughton,2017,,,,,,,,,,1977-06-00,1977,6,,,,,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Figueroa Mountain Station,,0,,34.768394,-119.863098,,69073,,rbehm (2018-09-28 15:50:44),,georef batch tool 2018-09-28; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,9/28/2018 15:50,,1,urn:uuid:2e260cc0-3243-424f-af7f-0c55413295c5,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=105041
105055,UCSB,IZC,,PreservedSpecimen,8298f3cf-e49e-4714-a36b-938f80cd82ff,UCSB-IZC00003920,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,I. Naughton,2017,,,,,,,,,,5/21/1983,1983,5,21,141,,,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Figueroa Mountain Station,,0,,34.768394,-119.863098,,69073,,rbehm (2018-09-28 15:50:44),,georef batch tool 2018-09-28; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,9/28/2018 15:50,,1,urn:uuid:8298f3cf-e49e-4714-a36b-938f80cd82ff,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=105055
105067,UCSB,IZC,,PreservedSpecimen,4dd33a87-daf9-42a7-897b-83e68b473569,UCSB-IZC00003939,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,I. Naughton,2017,,,,,,Ed Sounhein,,,,4/7/1953,1953,4,7,97,,,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,Santa Ynez,Santa Ynez Valley,,0,,34.584154,-120.097368,,6152,,rbehm (2018-09-28 15:26:13),,georef batch tool 2018-09-28; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,9/28/2018 15:26,,1,urn:uuid:4dd33a87-daf9-42a7-897b-83e68b473569,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=105067
105081,UCSB,IZC,,PreservedSpecimen,f41faf13-7eb0-404d-89e6-7b1620706dbd,UCSB-IZC00004381,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,I. Naughton,2017,,,,,,B. Sign,,,,6/1/1954,1954,6,1,152,,,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,Santa Barbara,Camino Cielo,,0,,34.527499,-119.851642,WGS84,12494,,,,GeoLocate,,Covered most of Southern Los Padres National Forest near Knapp's Castle,,,,,,,,,phorsley,2/21/2019 10:47,,1,urn:uuid:f41faf13-7eb0-404d-89e6-7b1620706dbd,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=105081
105084,UCSB,IZC,,PreservedSpecimen,329d94f8-6999-4ee5-b883-245c62f0af5e,UCSB-IZC00004385,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,I. Naughton,2017,,,,,,,,,,6/3/2015,2015,6,3,154,,,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,Santa Barbara,Lido Way,,0,,34.423595,-119.748107,WGS84,42,,,,GeoLocate,,Lido Way Cul-de-sac,,,,,,,,,phorsley,2/21/2019 11:02,,1,urn:uuid:329d94f8-6999-4ee5-b883-245c62f0af5e,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=105084
105096,UCSB,IZC,,PreservedSpecimen,0674158d-1a01-457f-aaef-7fba5d81ee93,UCSB-IZC00004399,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,I. Naughton,2017,,,,,,,,,,1981-05-00,1981,5,,,,,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Red Rock Campground,,0,,34.53981,-119.71913,,136,,rbehm (2018-09-17 15:17:48),,georef batch tool 2018-09-17,reviewed - high confidence,,,,,,,,,,phorsley,9/17/2018 15:17,,1,urn:uuid:0674158d-1a01-457f-aaef-7fba5d81ee93,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=105096
105101,UCSB,IZC,,PreservedSpecimen,3051aaa7-1881-456a-a9eb-8ead2ead274d,UCSB-IZC00004405,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,I. Naughton,2017,,,,,,,,,,5/21/1983,1983,5,21,141,,,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,"Pino Alto, Figueroa Mountain",,0,,34.743317,-119.985143,WGS84,16332,,,,GeoLocate,,Covered most of Figueroa Mountain,,,,,,,,,phorsley,2/21/2019 10:49,,1,urn:uuid:3051aaa7-1881-456a-a9eb-8ead2ead274d,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=105101
105112,UCSB,IZC,,PreservedSpecimen,6fdeeca7-1e99-44c0-94fe-c74ab3aa9ef1,UCSB-IZC00004419,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,2424,"Mayr, 1861",Camponotus,,,,I. Naughton,2017,,,,,,UCSB Zoology 125,,,,6/13/1989,1989,6,13,164,,,,in rock,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Goddard,,0,,34.755437,-119.977081,WGS84,59626,,,,GeoLocate,,All of Santa Barbara County,,,,,,,,,phorsley,2/21/2019 11:17,,1,urn:uuid:6fdeeca7-1e99-44c0-94fe-c74ab3aa9ef1,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=105112
