id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
115835,UCSB,IZC,,PreservedSpecimen,924260ff-34f6-458d-a144-63f5278da282,UCSB-IZC00018265,,,,,,,Diptera,19,,,,,,,,,,,,,UCSB Arthropod Survey,,,,2016-00-00,2016,0,0,,,"Apr. 29-May 05, 2016",,Eucalyptus,,,M1-Site 3,,,,,,,,,,,Malaise Trap,,,United States,California,Santa Barbara,Goleta,UCSB North Campus Open Space,,0,,34.3175,-119.9842,WGS84,,,,,GPS,,,,,,,,,,,,12/27/2018 11:27,,1,urn:uuid:924260ff-34f6-458d-a144-63f5278da282,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=115835
115836,UCSB,IZC,,PreservedSpecimen,6128d9a0-b18c-4b63-840a-2dffe34abb73,UCSB-IZC00018266,,,,,,,Diptera,19,,,,,,,,,,,,,UCSB Arthropod Survey,,,,2016-00-00,2016,0,0,,,"Apr. 29-May 05, 2016",,Eucalyptus,,,M1-Site 3,,,,,,,,,,,Malaise Trap,,,United States,California,Santa Barbara,Goleta,UCSB North Campus Open Space,,0,,34.3175,-119.9842,WGS84,,,,,GPS,,,,,,,,,,,,12/27/2018 11:27,,1,urn:uuid:6128d9a0-b18c-4b63-840a-2dffe34abb73,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=115836
115837,UCSB,IZC,,PreservedSpecimen,17dc4c06-135f-45e9-99c8-17a7fc5f9271,UCSB-IZC00018267,,,,,,,Diptera,19,,,,,,,,,,,,,UCSB Arthropod Survey,,,,2016-00-00,2016,0,0,,,"Apr. 29-May 05, 2016",,Eucalyptus,,,M1-Site 3,,,,,,,,,,,Malaise Trap,,,United States,California,Santa Barbara,Goleta,UCSB North Campus Open Space,,0,,34.3175,-119.9842,WGS84,,,,,GPS,,,,,,,,,,,,12/27/2018 11:27,,1,urn:uuid:17dc4c06-135f-45e9-99c8-17a7fc5f9271,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=115837
115838,UCSB,IZC,,PreservedSpecimen,07eedc3b-fd1a-45a9-b34a-edc02cd7fbbb,UCSB-IZC00018268,,Animalia,Arthropoda,Insecta,Diptera,Sciaridae,Sciaridae,3539,,,,,,Rachel Behm,2019,,,,,,UCSB Arthropod Survey,,,,2016-00-00,2016,0,0,,,"Apr. 29-May 05, 2016",,Eucalyptus,,,M1-Site 3,,,,,,,,,Male,,Malaise Trap,,,United States,California,Santa Barbara,Goleta,UCSB North Campus Open Space,,0,,34.3175,-119.9842,WGS84,,,,,GPS,,,,,,,,,,,,2/14/2019 11:41,,1,urn:uuid:07eedc3b-fd1a-45a9-b34a-edc02cd7fbbb,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=115838
115839,UCSB,IZC,,PreservedSpecimen,22d35e82-b48a-4e3a-838f-a5ae03101ae3,UCSB-IZC00018269,,Animalia,Arthropoda,Insecta,Diptera,Sciaridae,Sciaridae,3539,,,,,,Rachel Behm,2019,,,,,,UCSB Arthropod Survey,,,,2016-00-00,2016,0,0,,,"Apr. 29-May 05, 2016",,Eucalyptus,,,M1-Site 3,,,,,,,,,Male,,Malaise Trap,,,United States,California,Santa Barbara,Goleta,UCSB North Campus Open Space,,0,,34.3175,-119.9842,WGS84,,,,,GPS,,,,,,,,,,,,2/14/2019 11:33,,1,urn:uuid:22d35e82-b48a-4e3a-838f-a5ae03101ae3,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=115839
115840,UCSB,IZC,,PreservedSpecimen,80698924-78fe-4b36-9eec-d300a7bed061,UCSB-IZC00018270,,,,,,,Diptera,19,,,,,,,,,,,,,UCSB Arthropod Survey,,,,2016-00-00,2016,0,0,,,"Apr. 29-May 05, 2016",,Eucalyptus,,,M1-Site 3,,,,,,,,,,,Malaise Trap,,,United States,California,Santa Barbara,Goleta,UCSB North Campus Open Space,,0,,34.3175,-119.9842,WGS84,,,,,GPS,,,,,,,,,,,,12/27/2018 11:27,,1,urn:uuid:80698924-78fe-4b36-9eec-d300a7bed061,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=115840
115841,UCSB,IZC,,PreservedSpecimen,8cebacc0-c357-419d-89e7-4016c725be5e,UCSB-IZC00018271,,,,,,,Diptera,19,,,,,,,,,,,,,UCSB Arthropod Survey,,,,2016-00-00,2016,0,0,,,"Apr. 29-May 05, 2016",,Eucalyptus,,,M1-Site 3,,,,,,,,,,,Malaise Trap,,,United States,California,Santa Barbara,Goleta,UCSB North Campus Open Space,,0,,34.3175,-119.9842,WGS84,,,,,GPS,,,,,,,,,,,,12/27/2018 11:27,,1,urn:uuid:8cebacc0-c357-419d-89e7-4016c725be5e,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=115841
115842,UCSB,IZC,,PreservedSpecimen,d6cb2df6-83f0-42d2-87ec-feac0f97cadf,UCSB-IZC00018272,,,,,,,Diptera,19,,,,,,,,,,,,,UCSB Arthropod Survey,,,,2016-00-00,2016,0,0,,,"Apr. 29-May 05, 2016",,Eucalyptus,,,M1-Site 3,,,,,,,,,,,Malaise Trap,,,United States,California,Santa Barbara,Goleta,UCSB North Campus Open Space,,0,,34.3175,-119.9842,WGS84,,,,,GPS,,,,,,,,,,,,12/27/2018 11:27,,1,urn:uuid:d6cb2df6-83f0-42d2-87ec-feac0f97cadf,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=115842
115843,UCSB,IZC,,PreservedSpecimen,b0f1ef3a-36c4-454e-9754-bf90b6811aa8,UCSB-IZC00018273,,Animalia,Arthropoda,Insecta,Diptera,Sciaridae,Sciaridae,3539,,,,,,Rachel Behm,2019,,,,,,UCSB Arthropod Survey,,,,2016-00-00,2016,0,0,,,"Apr. 29-May 05, 2016",,Eucalyptus,,,M1-Site 3,,,,,,,,,Male,,Malaise Trap,,,United States,California,Santa Barbara,Goleta,UCSB North Campus Open Space,,0,,34.3175,-119.9842,WGS84,,,,,GPS,,,,,,,,,,,,2/14/2019 11:36,,1,urn:uuid:b0f1ef3a-36c4-454e-9754-bf90b6811aa8,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=115843
115844,UCSB,IZC,,PreservedSpecimen,a532efe5-d2df-4efa-b7ad-e2a2bcfe5b12,UCSB-IZC00018274,,,,,,,Diptera,19,,,,,,,,,,,,,UCSB Arthropod Survey,,,,2016-00-00,2016,0,0,,,"Apr. 29-May 05, 2016",,Eucalyptus,,,M1-Site 3,,,,,,,,,,,Malaise Trap,,,United States,California,Santa Barbara,Goleta,UCSB North Campus Open Space,,0,,34.3175,-119.9842,WGS84,,,,,GPS,,,,,,,,,,,,12/27/2018 11:27,,1,urn:uuid:a532efe5-d2df-4efa-b7ad-e2a2bcfe5b12,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=115844
